No. Pesanan,Status Pesanan,Tanggal Pesanan Dibuat,Nama Produk,Nama Variasi,Nomor Referensi SKU,Jumlah,Harga Awal,Harga Setelah Diskon,Total Harga Pesanan,Voucher Ditanggung Penjual,Biaya Komisi,Ongkir yang Dibayar Pembeli,Total Penghasilan
250401ABCD001,Selesai,01/04/2026 10:23,Serum Brightening 30ml,30ml Natural,SRM-30ML-NAT,2,85000,80000,160000,0,9600,0,150400
250401ABCD002,Selesai,01/04/2026 11:45,Facial Wash Gentle,100ml,FW-GENTLE-100,1,45000,45000,45000,0,2700,0,42300
250402ABCD003,Selesai,02/04/2026 09:12,Serum Brightening 30ml,30ml Sensitive,SRM-30ML-SEN,3,85000,82000,246000,5000,14760,0,226240
250402ABCD004,Dibatalkan,02/04/2026 14:30,Toner Hydra 150ml,,TON-HYDRA-150,1,75000,70000,70000,0,0,0,0
250403ABCD005,Selesai,03/04/2026 08:55,Facial Wash Gentle,200ml,FW-GENTLE-200,2,60000,55000,110000,0,6600,0,103400
250403ABCD006,Selesai,03/04/2026 13:20,Toner Hydra 150ml,150ml,TON-HYDRA-150,1,75000,75000,75000,5000,4500,0,65500
250404ABCD007,Selesai,04/04/2026 07:45,Serum Brightening 30ml,30ml Natural,SRM-30ML-NAT,1,85000,85000,85000,0,5100,0,79900
250404ABCD008,Dalam Pengiriman,04/04/2026 16:30,Facial Wash Gentle,100ml,FW-GENTLE-100,3,45000,43000,129000,0,7740,0,121260
250405ABCD009,Selesai,05/04/2026 10:00,Pelembab Harian SPF30,,PLB-SPF30,2,95000,90000,180000,10000,10200,0,159800
250405ABCD010,Selesai,05/04/2026 14:15,Serum Brightening 30ml,30ml Natural,SRM-30ML-NAT,1,85000,80000,80000,0,4800,0,75200
